filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency
test232.gcode,0.9998213152911778,1.0,1.0537795445649503e-05,0.0,0.0,0.0,12.014521,0.0
test233.gcode,0.9998454651117766,1.0,8.97401868965678e-06,0.0,0.0,0.0,12.014521,0.0
test234.gcode,0.9998197847959268,1.0,8.588332141352963e-06,0.0,0.0,0.0,12.014521,0.0
test235.gcode,0.9998198241411903,1.0,8.594005492923444e-06,0.0,0.0,0.0,12.014521,0.0
test236.gcode,0.9998217152796604,1.0,1.0520921405318203e-05,0.0,0.0,0.0,12.014521,0.0
test237.gcode,0.9998144252066364,1.0,8.870941373838636e-06,0.0,0.0,0.0,12.014521,0.0
test238.gcode,0.9997971021937455,1.0,8.668449191372069e-06,0.0,0.0,0.0,12.014521,0.0
test239.gcode,0.9998133691094557,1.0,9.50869976095496e-06,0.0,0.0,0.0,12.014521,0.0
test24.gcode,0.9999999999989911,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test240.gcode,0.9998173861044481,1.0,8.181286014630593e-06,0.0,0.0,0.0,12.014521,0.0
test241.gcode,0.9998172797495021,1.0,8.16842120480225e-06,0.0,0.0,0.0,12.014521,0.0
test242.gcode,0.9998134931841973,1.0,8.497912027885019e-06,0.0,0.0,0.0,12.014521,0.0
test243.gcode,0.9998269917841609,1.0,9.460411760123154e-06,0.0,0.0,0.0,12.014521,0.0
test244.gcode,0.9998051385376161,1.0,1.1284241329664698e-05,0.0,0.0,0.0,12.014521,0.0
test245.gcode,0.9998116969545492,1.0,8.908541543480154e-06,0.0,0.0,0.0,12.014521,0.0
test246.gcode,0.9998372841631257,1.0,6.699478589976611e-06,0.0,0.0,0.0,12.014521,0.0
test247.gcode,0.9998273509473147,1.0,8.565038158604081e-06,0.0,0.0,0.0,12.014521,0.0
test248.gcode,0.9998320198319459,1.0,6.7525742022561e-06,0.0,0.0,0.0,12.014521,0.0
test249.gcode,0.9998318651202258,1.0,6.8833115039888836e-06,0.0,0.0,0.0,12.014521,0.0
test25.gcode,0.9999987598283112,1.0,1.0398629124013005e-07,0.0,0.0,0.0,12.014521,0.0
test250.gcode,0.9997991117901582,1.0,8.801560579113749e-06,0.0,0.0,0.0,12.014521,0.0
test251.gcode,0.9998317442841353,1.0,6.883311504188933e-06,0.0,0.0,0.0,12.014521,0.0
test252.gcode,0.9997906567314443,1.0,1.1437168046939217e-05,0.0,0.0,0.0,12.014521,0.0
test253.gcode,0.99980444714862,1.0,1.123739816696739e-05,0.0,0.0,0.0,12.014521,0.0
test254.gcode,0.9998275266255334,1.0,8.450037822419711e-06,0.0,0.0,0.0,12.014521,0.0
test255.gcode,0.9998279704883561,1.0,9.277509720382201e-06,0.0,0.0,0.0,12.014521,0.0
