filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency
test162.gcode,0.9952189155917172,1.0,0.00022208954943843257,0.0,0.0,0.0,14.01763,0.0
test163.gcode,0.9998436747242618,1.0,7.376636214924815e-06,0.0,0.0,0.0,14.01763,0.0
test164.gcode,0.9963208593079185,1.0,0.00020196340654270693,0.0,0.0,0.0,14.01763,0.0
test165.gcode,0.9952543025733955,1.0,0.0003198109395950182,0.0,0.0,0.0,14.01763,0.0
test166.gcode,0.9857127191372739,1.0,0.00038516957011879965,0.0,0.0,0.0,14.01763,0.0
test167.gcode,0.9946442586766028,1.0,0.00024154060950197105,0.0,0.0,0.0,14.01763,0.0
test168.gcode,0.9971084724325436,1.0,9.279889087958512e-06,0.0,0.0,0.0,14.01763,0.0
test169.gcode,0.9998304679278367,1.0,6.738029930288756e-06,0.0,0.0,0.0,14.01763,0.0
test17.gcode,0.9649430505526004,1.0,0.0007778149606299387,0.0,0.0,0.0,14.01763,0.0
test170.gcode,0.9935686310570286,1.0,8.177039573659789e-06,0.0,0.0,0.0,14.01763,0.0
test171.gcode,0.8854082682727245,1.0,0.0010971411697651633,0.0,0.0,0.0,14.01763,0.0
test172.gcode,0.9997896670784074,1.0,1.1990159990781388e-05,0.0,0.0,0.0,14.01763,0.0
test173.gcode,0.9992090039535138,1.0,8.976553359961365e-06,0.0,0.0,0.0,14.01763,0.0
test174.gcode,0.9683281860259101,1.0,0.0022157289201979557,0.0,0.0,0.0,14.01763,0.0
test175.gcode,0.9983036314747462,1.0,0.0001771632474838897,0.0,0.0,0.0,14.01763,0.0
test176.gcode,0.9850395739933738,1.0,0.00031248295904222876,0.0,0.0,0.0,14.01763,0.0
test177.gcode,0.9821920599154,1.0,0.0003790719238662173,0.0,0.0,0.0,14.01763,0.0
test178.gcode,0.9560437532718095,1.0,7.249491912370989e-06,0.0,0.0,0.0,14.01763,0.0
test179.gcode,0.030885727598914097,1.0,0.013733803501750066,0.0,0.0,0.0,14.01763,0.0
test18.gcode,0.9715160678705794,1.0,0.00041051282051285674,0.0,0.0,0.0,14.01763,0.0
test180.gcode,0.9464097358783794,1.0,6.649371413031852e-06,0.0,0.0,0.0,14.01763,0.0
test181.gcode,0.9950289157099439,1.0,0.00035399003426975315,0.0,0.0,0.0,14.01763,0.0
test182.gcode,0.9359454798326134,1.0,5.538221276184411e-05,0.0,0.0,0.0,14.01763,0.0
test183.gcode,0.9997906052149517,1.0,1.148643657036294e-05,0.0,0.0,0.0,14.01763,0.0
test184.gcode,0.9915063739882399,1.0,9.856099213749818e-05,0.0,0.0,0.0,14.01763,0.0
